Category,SKU,Title,Description,Benefit 1,Benefit 2,Benefit 3,back image,Cost Per Bottle (30),Cost Per Bottle (100),Cost Per Bottle (200),Ingredients,Recommended Price,Servings,Capsules,,,Name,Study,,,,Cost Per Bottle (1)
Weight,4-02031,Green Coffee Bean,"Clinically studied ingredients to support faster metabolism, appetite control, and fat burning.*",Lose Weight,Reduce Bloating,Non-GMO,Green_Coffee_Bean_Extract.png,$7.49,$5.99,$5.99,Green Coffee Bean Extract,$20.00,60,60,Veggie Capsules,Green Coffee Bean Extract provides free radical support and also supports metabolism in order to burn a higher proportion of lipids to carbohydrates.* Green Coffee Bean Extract contains two important polyphenolic compounds- caffeic and chlorogenic acids. Caffeic acid provides a safe energy boost while being naturally low in caffeine.* Chlorogenic acid helps to slow the release of glucose into the bloodstream after a meal and reduce the absorption of dietary fat.*,US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/18035001,,,,$20.00
,4-02054,Thermogenic Complex,"Combines four clinically proven ingredients that work synergistically to promote thermogenesis, fat burning, appetitite control, blood sugar levels, and proper fat metabolism.*",Lose Weight,Reduce Bloating,Non-GMO,Burner_(Raspberry_Ketones).png,$7.45,$5.96,$5.96,Raspberry Ketones,$25.00,30,60,Capsules,"Raspberry Ketone is a compound that produces the smell in raspberries. It supports the weight loss process by supporting the body�s ability to produce Adiponectin, a hormone that increases metabolism and modulates a number of metabolic processes, including glucose regulation and fatty acid catabolism.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/15862604,,,,$25.00
,,,,,,,,,,,African Mango Extract,,,,,African Mango (Irvingia gabonesis) is a fruit found and grown in West Africa. The extract derived from the seed has been shown to support weight management through appetite suppression and increased metabolic rate.*,US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1168905/,,,,
,,,,,,,,,,,Green Tea Extract,,,,,"Green Tea Extract is an excellent source of potent polyphenols (bioflavonoids with healthful properties)*. Research has identified EGCG as the most active polyphenolic compound in Green Tea that supports thermogenesis (fat burning), healthy blood insulin levels and appetite control.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/18035001,,,,
,,,,,,,,,,,Kelp,,,,,"Kelp is one of the best natural food sources of iodine, an essential component in thyroid hormone production. A deficiency in iodine leads to metabolism disruption and can also lead to an enlargement of the thyroid gland known as goiter.*",UC Berkely,http://www.berkeley.edu/news/media/releases/2005/02/02_kelp.shtml,,,,
,3-08024,Superfood Complex,"Combines nutrient rich vegetables, fruits and herbs with enzymes to support the body�s ability to cleanse, detoxify and rejuvenate.*",Fights Illness,Healthy Digestion,Non-GMO,Superfood_Complex.png,$9.80,$7.50,$7.50,Chlorella,$25.00,30,60,Caplets,"Chlorella supports cell reproduction, as well as restorative processes that promote healthy organs and tissues.* Chlorella supports proper digestion by promoting the growth of beneficial bacteria and assisting in the elimination of unwanted materials from the body.*",US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/18800884,,,,$20.00
,,,,,,,,,,,Bilberry,,,,,"Bilberry has traditionally been used to support proper functioning of the eye.* It helps to synthesize compounds that maintain artery walls, support connective tissue health and strengthen capillaries.*",US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/books/NBK92770/,,,,
,,,,,,,,,,,Spirulina,,,,,"Spirulina is a strong source of blue-green algae which supports healthy functioning of the liver and immune system, to aid in detoxification.*",US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2907180/,,,,
,,,,,,,,,,,Echinacea,,,,,Echinacea is a popular herb and people commonly take it to help combat flu and colds. It is a genus of herbaceous flowering plants in the daisy family - Asteraceae.*,University of Maryland Medical Center,http://umm.edu/health/medical/altmed/herb/echinacea,,,,
,4-02077,Garcinia Cambogia,"Clinically studied ingredients to help inhibit fat production, curb your appetite, and reduce food intake.*",Lose Weight,Boosts Energy,Non-GMO,Garcinia_Cambogia.png,$7.78,$6.22,$6.22,Potassium,$20.00,30,60,Capsules,"Potassium is an important mineral used in various bodily functions. It is an important factor in the maintenance of the body's acid-base balance and nerve conductions, as well as the transfer of nutrients through cell membranes.*",Purdue University,http://advances.nutrition.org/content/4/3/368S.full,,,,$20.00
,,,,,,,,,,,Garcinia Cambogia Extract,,,,,"Garcinia cambogia extract contains an extract isolated from Garcinia Cambogia, a fruit native to India. The active ingredient in the extract is Hydroxycitrate (HCA). HCA reduces the conversion of carbohydrates into stored fat by inhibiting certain enzyme processes.* HCA may be a useful for weight management because it reduces reduces fatty acid synthesis by approximately 40-70% for eight to twelve hours following a meal. It also suppresses appetite and reduces food consumption by about 10 percent.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/11134690,,,,
,4-02016,CLA,Clinically studied to help the body metabolize existing fat deposits.*,Build Lean Muscle,Reduce Bloating,Boosts Energy,Safflower_Oil_(CLA).png,$10.00,$8.00,$8.00,CLA,$25.00,60,30,Softgels,CLA reduces body fat and tones muscles by decreasing the ability of fat storage cells to take dietary fats from the bloodstream.* Existing fat cells shrink and new fat cells are prevented from forming.* The result is a better appearance by decreasing fat and increasing lean muscle*.,US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/11110851,,,,$25.00
,4-02003,Detoxification Complex,"Combines multiple clinically studied ingredients to help support the body's ability to cleanse, detoxify, and rejuvenate its primary physiological functions.*",Fights Illness,Healthy Digestion,Non-GMO,Cleanse_(African_Mango).png,$7.82,$6.26,$6.26,African Mango,$25.00,30,60,Capsules,African Mango (Irvingia gabonesis) is a fruit found and grown in West Africa. The extract derived from the seed has been shown to support weight management through appetite suppression and increased metabolic rate.*,US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1168905/,,,,$25.00
,,,,,,,,,,,Flax Seed,,,,,"Flax Seed Oil provides Omega 3, Omega 6 and Omega 9 Essential Fatty Acids that are used to support Cardiovascular and Immune System functions and support prostaglandin balance.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/27516683,,,,
,,,,,,,,,,,Oat Bran,,,,,"Oat Bran is a soluble fiber that has been shown to support proper bowel function, regularity, and fecal volume.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/26840185,,,,
,,,,,,,,,,,Cayenne Pepper,,,,,"Cayenne is a medicinal and nutritional herb. It is a very high source of Vitamins A and C, has the complete B complexes, and is very rich in organic calcium and potassium, which is one of the reasons it is good for the heart.*",University of Maryland Medical Center,http://umm.edu/health/medical/altmed/herb/cayenne,,,,
,,,,,,,,,,,Ginger,,,,,"Ginger has a very long history of use in various forms of traditional/alternative medicine. It has been used to help digestion, reduce nausea and help fight the flu and common cold, to name a few.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/20418184,,,,
,,,,,,,,,,,Aloe Vera,$25.00,60,60,Capsules,Aloe helps to support healing of the lining of the stomach and keep the folds and pockets of the colon free of toxic material that gather there.*,National Center for Complementary and Integrative Health,https://nccih.nih.gov/health/aloevera,,,,
Sleep,4-04039,Sleep Complex,"Clinically studied ingredients to reduce adrenaline levels, muscle tension, stressors, and heart rate.*",Natural Sleep,Relieves Anxiety,Relaxes Muscles,Sleep_(GABA).png,$7.93,$6.34,$6.34,GABA,,,,,"GABA (Gamma-amminobutyric acid) is an amino acid that acts as an inhibitory neurotransmitter keeping nerve cells from becoming over active.* GABA is needed for proper brain function.* As the brain�s natural relaxer; it quiets nerves, reduce muscle tension and supports proper sleep patterns.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/16971751,,,,$25.00
,,,,,,,,,,,Melatonin,,,,,"Low levels of melatonin could result in poor sleep patterns, low mood, delayed sleep phase syndrome, insomnia associated with attention deficit hyperactivity disorder, irritability, learning disorders, poor concentration, seasonal affective disorder, menstrual disturbances and headaches.*",Massachussettes Institute of Technology (MIT),http://news.mit.edu/2005/melatonin,,,,
,,,,,,,,,,,Valerian Root,,,,,"Valerian Root a commonly used herb for sleep disorders, especially the inability to sleep (insomnia).*",National Institutes of Health,https://ods.od.nih.gov/factsheets/Valerian-HealthProfessional/,,,,
,,,,,,,,,,,Chamomile Flower,,,,,"The term Chamomile actually refers to a range of different daisy-like plants, which are a member of the Asteraceae family. Chamomile has been used for centuries in teas as a mild, relaxing sleep aid, treatment for fevers, colds, stomach ailments, and as an anti-inflammatory, to name only a few therapeutic uses.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2995283/,,,,
,,,,,,,,,,,Passion Flower,,,,,Passionflower is found in combination herbal products used as a sedative for promoting calmness and relaxation.*,US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/11679026,,,,
Wellness,4-06001,Probiotic Complex,"Clinically studied ingredients to normalize digestion, enzymes, and support nutrient absorption.*",Healthy Digestion,Inflammation Relief,Non-GMO,Probiotic.png,$8.28,$6.62,$6.62,Bacillus Coagulans,$25.00,60,60,Tablet,"Probiotics are live bacteria and yeasts that are good for your health, especially your digestive system. Spore-producing Bacillus coagulans is a unique probiotic that has been found to be superior to other probiotics in terms of surviving the gastric environment, colonizing the intestines, and producing lactic acid.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/25332478,,,,$25.00
,3-08024,Superfood Complex,"Combines nutrient rich vegetables, fruits and herbs with enzymes to support the body�s ability to cleanse, detoxify and rejuvenate.*",Fights Illness,Healthy Digestion,Non-GMO,Superfood_Complex.png,$9.80,$7.50,$7.50,Chlorella,$25.00,30,60,Caplets,"Chlorella supports cell reproduction, as well as restorative processes that promote healthy organs and tissues.* Chlorella supports proper digestion by promoting the growth of beneficial bacteria and assisting in the elimination of unwanted materials from the body.*",US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/18800884,,,,$20.00
,,,,,,,,,,,Bilberry,,,,,"Bilberry has traditionally been used to support proper functioning of the eye.* It helps to synthesize compounds that maintain artery walls, support connective tissue health and strengthen capillaries.*",US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/books/NBK92770/,,,,
,,,,,,,,,,,Spirulina,,,,,"Spirulina is a strong source of blue-green algae which supports healthy functioning of the liver and immune system, to aid in detoxification.*",US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2907180/,,,,
,,,,,,,,,,,Echinacea,,,,,Echinacea is a popular herb and people commonly take it to help combat flu and colds. It is a genus of herbaceous flowering plants in the daisy family - Asteraceae.*,University of Maryland Medical Center,http://umm.edu/health/medical/altmed/herb/echinacea,,,,
,4-21010,Youth Complex,"Combines over 30 high potent, full spectrum nutrients to support defense against aging, stress, and obesity.",Healthy Digestion,Reduce Bloating,Cardiovascular Health,Youth_Complex.png,$9.80,$7.50,$7.50,PABA,$25.00,30,90,Tablets,"P-amino benzoic acid (PABA) is an organic compound that is also known as 4-aminobenzoic acid and para-aminobenzoic acid. It can be synthesized in the body and is therefore considered a nonessential nutrient in humans. However, PABA is used to synthesize folic acid, which is an essential nutrient.",Anti Aging and Life Extension Medicine Institute,http://warddeanmd.com/dmae-and-paba/,,,,$20.00
,,,,,,,,,,,Rutin,,,,,"Rutin, a type of bioflavonoid, is found in black tea, buckwheat bran, many citrus fruits and even apple skins, and is also available as a supplement in capsule or tablet form. Rutin helps the body utilize vitamin C and produce collagen (skin's main building blocks), can be used to treat conditions such as hemorrhoids and high blood pressure (hypertension), and can also reduce cholesterol levels.",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/11083486,,,,
,,,,,,,,,,,Horsetail,,,,,"Horsetail (Equisetum arvense) is an herbal remedy that dates back to ancient Roman and Greek times. It was used traditionally to stop bleeding, heal ulcers and wounds, and treat tuberculosis and kidney problems. Horsetail contains silicon, which helps strengthen bone.",University of Maryland Medical Center,http://www.naturalnews.com/034772_horsetail_shave_grass_silica.html,,,,
,4-14017,Joint Complex,"Clinically studied to support joint comfort, joint hydration, joint flexibility, and connective tissue health.*",Relieves Joint Pain,Inflammation Relief,Fights Illness,Joint_Complex.png,$9.80,$7.50,$7.50,Glucosamine,$25.00,30,60,Tablets,"Glucosamine, which is produced naturally in the body, plays a key role in building cartilage; the tough connective tissue that cushions the joints. Several scientific studies suggest that glucosamine may be an effective treatment for osteoarthritis (OA)",US National Library of MedicineNational Institutes of Health,https://nccih.nih.gov/research/results/gait/qa.htm,,,,$20.00
